Well,Position,Gene,Group,TecRep,BioRep,Cq
356,O20,ckb,ko,1,6,29.2552106
357,O21,ckb,control,1,7,30.7167488
358,O22,ckb,ko,1,7,29.30179058
359,O23,ckb,control,1,8,30.03027776
360,O24,ckb,ko,1,8,29.55283274
361,P1,myom2,control,2,1,29.75835657
362,P2,myom2,ko,2,1,28.03020477
363,P3,myom2,control,2,2,29.14243332
364,P4,myom2,ko,2,2,28.31114959
365,P5,myom2,control,2,3,29.21337645
366,P6,myom2,ko,2,3,28.76483925
367,P7,myom2,control,2,4,29.27444452
368,P8,myom2,ko,2,4,28.44115442
369,P9,myom2,control,2,5,29.45032282
370,P10,myom2,ko,2,5,28.03198948
371,P11,myom2,control,2,6,29.0422009
372,P12,myom2,ko,2,6,28.32417747
373,P13,myom2,control,2,7,29.11997144
374,P14,myom2,ko,2,7,28.21337645
375,P15,myom2,control,2,8,29.00227354
376,P16,myom2,ko,2,8,28.81337645
377,P17,ckb,control,2,5,30.01811952
378,P18,ckb,ko,2,5,29.96822041
379,P19,ckb,control,2,6,31.19241561
380,P20,ckb,ko,2,6,29.61000354
381,P21,ckb,control,2,7,30.8093242
382,P22,ckb,ko,2,7,29.74934481
383,P23,ckb,control,2,8,29.83521221
384,P24,ckb,ko,2,8,29.29850199
