assay,Crbn Regulatory sequences,Embryo number,Intensity,Relative intensity to 455bp Regulatory sequence Mean
Assay 3,314bp,1,0,0
Assay 3,314bp,2,2330000,0.165439641
Assay 3,314bp,3,35500000,2.520646889
Assay 3,314bp,4,0,0
Assay 3,314bp,5,20200000,1.434283582
Assay 3,314bp,6,0,0
Assay 3,314bp,7,17200000,1.221271169
Assay 3,314bp,8,28100000,1.99521627
Assay 3,314bp,9,22500000,1.597593099
Assay 3,314bp,10,10200000,0.724242205
Assay 3,314bp,11,10600000,0.75264386
Assay 3,314bp,12,18600000,1.320676962
Assay 3,314bp,13,1290000,0.091595338
Assay 3,314bp,14,21800000,1.547890203
Assay 3,314bp,15,13400000,0.951455446
Assay 3,314bp,16,19500000,1.384580686
Assay 3,314bp,17,990000,0.070294096
Assay 3,314bp,18,3620000,0.257034979
Assay 3,314bp,19,8860000,0.62909666
Assay 3,314bp,20,0,0
Assay 3,314bp,21,13100000,0.930154204
Assay 3,314bp,22,2100000,0.149108689
Assay 3,314bp,23,13700000,0.972756687
Assay 3,314bp,24,24100000,1.711199719
Assay 3,314bp,25,3180000,0.225793158
Assay 3,314bp,26,6120000,0.434545323
Assay 3,314bp,27,924000,0.065607823
Assay 3,314bp,28,13100000,0.930154204
Assay 3,314bp,29,20400000,1.44848441
Assay 3,314bp,30,34300000,2.435441924
Assay 3,314bp,31,2.00E+06,0.142008275
Assay 3,314bp,32,15300000,1.086363307
Assay 3,314bp,33,13400000,0.951455446
Assay 3,314bp,34,1.80E+07,1.278074479
Assay 3,314bp,35,15700000,1.114764962
Assay 3,314bp,36,47500000,3.372696542
Assay 3,314bp,37,27800000,1.973915029
Assay 3,314bp,38,35800000,2.541948131
Assay 3,314bp,39,48800000,3.465001921
Assay 3,314bp,40,6180000,0.438805571
Assay 3,314bp,41,770000,0.054673186
Assay 3,314bp,42,3.60E+07,2.556148958
Assay 3,314bp,43,3210000,0.227923282
Assay 3,314bp,44,12200000,0.86625048
Assay 3,314bp,45,20400000,1.44848441
Assay 3,314bp,46,29300000,2.080421236
Assay 3,314bp,47,611000,0.043383528
Assay 3,314bp,48,15200000,1.079262894
Assay 3,314bp,49,6070000,0.430995116
Assay 3,314bp,50,0,0
Assay 3,314bp,51,10700000,0.759744274
Assay 3,314bp,52,1090000,0.07739451
